App,Category,Rating,Reviews,Size,Installs,Type,Price,Content Rating,Genres,Last Updated,Current Ver,Android Ver,category_key,rating_num,reviews_num,installs_num,size_mb,subjectivity_num
Video Caller Id,COMMUNICATION,4.2,15287,17M,"1,000,000+",Free,0,Everyone,Communication,"January 24, 2018",2.2.245,4.0.3 and up,COMMUNICATION,4.2,15287.0,1000000.0,17.0,
Email TypeApp - Mail App,COMMUNICATION,4.6,183374,44M,"1,000,000+",Free,0,Everyone,Communication,"August 1, 2018",1.9.4.74,4.1 and up,COMMUNICATION,4.6,183374.0,1000000.0,44.0,
"Newton Mail - Email App for Gmail, Outlook, IMAP",COMMUNICATION,4.0,122595,30M,"1,000,000+",Free,0,Everyone,Communication,"July 19, 2018",9.8.376,5.0 and up,COMMUNICATION,4.0,122595.0,1000000.0,30.0,
Daum Mail - Next Mail,COMMUNICATION,4.3,41420,19M,"5,000,000+",Free,0,Everyone,Communication,"June 21, 2018",3.2.0,4.0 and up,COMMUNICATION,4.3,41420.0,5000000.0,19.0,
Vonage Mobile® Call Video Text,COMMUNICATION,4.1,29208,23M,"1,000,000+",Free,0,Everyone,Communication,"September 28, 2016",2.9.8,2.3.3 and up,COMMUNICATION,4.1,29208.0,1000000.0,23.0,
OkCupid Dating,DATING,4.1,285726,15M,"10,000,000+",Free,0,Mature 17+,Dating,"July 30, 2018",11.10.1,4.1 and up,DATING,4.1,285726.0,10000000.0,15.0,
"Hily: Dating, Chat, Match, Meet & Hook up",DATING,4.1,2556,56M,"100,000+",Free,0,Mature 17+,Dating,"August 1, 2018",2.5.2,4.1 and up,DATING,4.1,2556.0,100000.0,56.0,
CMB Free Dating App,DATING,4.0,48845,40M,"1,000,000+",Free,0,Mature 17+,Dating,"August 1, 2018",4.19.0.2320,4.4 and up,DATING,4.0,48845.0,1000000.0,40.0,
Clover Dating App,DATING,4.1,11633,23M,"500,000+",Free,0,Mature 17+,Dating,"July 24, 2018",2.5.1,4.1 and up,DATING,4.1,11633.0,500000.0,23.0,
Find Real Love — YouLove Premium Dating,DATING,4.5,212626,11M,"10,000,000+",Free,0,Mature 17+,Dating,"July 31, 2018",4.17.2,4.1 and up,DATING,4.5,212626.0,10000000.0,11.0,
RandoChat - Chat roulette,DATING,3.6,11806,12M,"1,000,000+",Free,0,Mature 17+,Dating,"June 26, 2018",4.0.18,4.0.3 and up,DATING,3.6,11806.0,1000000.0,12.0,
ChatVideo Meet new people,DATING,4.2,63986,20M,"5,000,000+",Free,0,Mature 17+,Dating,"May 31, 2018",3.0.15,4.0 and up,DATING,4.2,63986.0,5000000.0,20.0,
Black White Interracial Dating - Interracial Match,DATING,4.1,535,28M,"100,000+",Free,0,Mature 17+,Dating,"March 29, 2018",2.0.0,4.1 and up,DATING,4.1,535.0,100000.0,28.0,
FlirtChat - ♥Free Dating/Flirting App♥,DATING,4.3,2430,13M,"500,000+",Free,0,Mature 17+,Dating,"July 26, 2018",12.0.4,4.1 and up,DATING,4.3,2430.0,500000.0,13.0,
Black White Interracial Dating - Interracial Match,DATING,4.1,537,28M,"100,000+",Free,0,Mature 17+,Dating,"March 29, 2018",2.0.0,4.1 and up,DATING,4.1,537.0,100000.0,28.0,
Mingle - Online Dating App to Chat & Meet People,DATING,4.1,15081,38M,"1,000,000+",Free,0,Mature 17+,Dating,"July 26, 2018",4.7.6,4.1 and up,DATING,4.1,15081.0,1000000.0,38.0,
Hitwe - meet people and chat,DATING,4.2,243950,21M,"10,000,000+",Free,0,Mature 17+,Dating,"May 10, 2018",4.3.2,4.1 and up,DATING,4.2,243950.0,10000000.0,21.0,
WannaMeet – Dating & Chat App,DATING,4.1,6701,11M,"1,000,000+",Free,0,Mature 17+,Dating,"June 29, 2018",5.16.2,4.0.3 and up,DATING,4.1,6701.0,1000000.0,11.0,
"iPair-Meet, Chat, Dating",DATING,4.5,182986,77M,"5,000,000+",Free,0,Mature 17+,Dating,"August 2, 2018",5.0.8,4.1 and up,DATING,4.5,182986.0,5000000.0,77.0,
"Hily: Dating, Chat, Match, Meet & Hook up",DATING,4.1,2560,56M,"100,000+",Free,0,Mature 17+,Dating,"August 1, 2018",2.5.2,4.1 and up,DATING,4.1,2560.0,100000.0,56.0,
FlirtChat - ♥Free Dating/Flirting App♥,DATING,4.3,2433,13M,"500,000+",Free,0,Mature 17+,Dating,"July 26, 2018",12.0.4,4.1 and up,DATING,4.3,2433.0,500000.0,13.0,
The green alien dance,ENTERTAINMENT,3.8,6979,12M,"1,000,000+",Free,0,Everyone,Entertainment,"July 5, 2018",1.03,4.0 and up,ENTERTAINMENT,3.8,6979.0,1000000.0,12.0,
Cinematic Cinematic,ENTERTAINMENT,4.4,37000,15M,"1,000,000+",Free,0,Mature 17+,Entertainment,"June 21, 2018",4.0.5,4.1 and up,ENTERTAINMENT,4.4,37000.0,1000000.0,15.0,
Talking Angela,ENTERTAINMENT,3.7,1828284,52M,"100,000,000+",Free,0,Everyone,Entertainment,"July 12, 2018",2.8.2,4.1 and up,ENTERTAINMENT,3.7,1828284.0,100000000.0,52.0,
Talking Ginger 2,ENTERTAINMENT,4.2,702975,49M,"50,000,000+",Free,0,Everyone,Entertainment,"July 5, 2018",2.6.6.11,4.1 and up,ENTERTAINMENT,4.2,702975.0,50000000.0,49.0,
Low Poly – Puzzle art game,ENTERTAINMENT,4.5,23063,17M,"1,000,000+",Free,0,Everyone,Entertainment;Brain Games,"August 3, 2018",1.0.9,4.1 and up,ENTERTAINMENT,4.5,23063.0,1000000.0,17.0,
Amazon Prime Video,ENTERTAINMENT,4.2,411683,24M,"50,000,000+",Free,0,Teen,Entertainment,"August 2, 2018",3.0.231.18141,4.1 and up,ENTERTAINMENT,4.2,411683.0,50000000.0,24.0,
Ziggo GO,ENTERTAINMENT,4.1,29690,78M,"1,000,000+",Free,0,Teen,Entertainment,"August 3, 2018",2.3.34 Prod,4.3 and up,ENTERTAINMENT,4.1,29690.0,1000000.0,78.0,
Talking Ben the Dog,ENTERTAINMENT,4.3,1633682,57M,"100,000,000+",Free,0,Everyone,Entertainment,"July 3, 2018",3.5.2.2,4.1 and up,ENTERTAINMENT,4.3,1633682.0,100000000.0,57.0,
Cooking Channel,ENTERTAINMENT,4.1,1033,16M,"100,000+",Free,0,Teen,Entertainment,"July 27, 2018",Varies with device,Varies with device,ENTERTAINMENT,4.1,1033.0,100000.0,16.0,
Nick,ENTERTAINMENT,4.2,123279,25M,"10,000,000+",Free,0,Everyone 10+,Entertainment;Music & Video,"January 24, 2018",2.0.8,4.4 and up,ENTERTAINMENT,4.2,123279.0,10000000.0,25.0,
VH1,ENTERTAINMENT,4.1,27424,17M,"1,000,000+",Free,0,Teen,Entertainment,"July 8, 2018",11.45.0,4.4 and up,ENTERTAINMENT,4.1,27424.0,1000000.0,17.0,
The CW,ENTERTAINMENT,4.4,288150,21M,"5,000,000+",Free,0,Teen,Entertainment,"July 23, 2018",2.17,4.4 and up,ENTERTAINMENT,4.4,288150.0,5000000.0,21.0,
Comedy Central,ENTERTAINMENT,3.9,22378,19M,"1,000,000+",Free,0,Teen,Entertainment,"July 8, 2018",11.45.0,4.4 and up,ENTERTAINMENT,3.9,22378.0,1000000.0,19.0,
WWE,ENTERTAINMENT,4.5,736864,20M,"10,000,000+",Free,0,Teen,Entertainment,"January 19, 2018",3.17.2,4.1 and up,ENTERTAINMENT,4.5,736864.0,10000000.0,20.0,
MTV,ENTERTAINMENT,3.8,35279,15M,"1,000,000+",Free,0,Teen,Entertainment,"July 8, 2018",11.45.0,4.4 and up,ENTERTAINMENT,3.8,35279.0,1000000.0,15.0,
FOX,ENTERTAINMENT,3.7,197774,44M,"10,000,000+",Free,0,Mature 17+,Entertainment,"June 25, 2018",6.6.1,4.4 and up,ENTERTAINMENT,3.7,197774.0,10000000.0,44.0,
Telemundo Now,ENTERTAINMENT,3.9,8674,19M,"1,000,000+",Free,0,Teen,Entertainment,"May 25, 2018",3.3.1.42,4.4 and up,ENTERTAINMENT,3.9,8674.0,1000000.0,19.0,
Redbox,ENTERTAINMENT,4.1,115033,30M,"10,000,000+",Free,0,Everyone,Entertainment,"July 2, 2018",7.5.0,5.0 and up,ENTERTAINMENT,4.1,115033.0,10000000.0,30.0,
Laugh Out Loud by Kevin Hart,ENTERTAINMENT,4.3,1856,20M,"100,000+",Free,0,Teen,Entertainment,"August 1, 2018",1.6.1,6.0 and up,ENTERTAINMENT,4.3,1856.0,100000.0,20.0,
ColorFul - Adult Coloring Book,ENTERTAINMENT,4.6,50725,19M,"5,000,000+",Free,0,Everyone,Entertainment,"May 25, 2018",1.0.64,4.0.3 and up,ENTERTAINMENT,4.6,50725.0,5000000.0,19.0,
Hamilton — The Official App,ENTERTAINMENT,4.5,1575,43M,"100,000+",Free,0,Everyone,Entertainment,"July 13, 2018",2.3.2,5.0 and up,ENTERTAINMENT,4.5,1575.0,100000.0,43.0,
Meme Creator,ENTERTAINMENT,4.2,38769,44M,"1,000,000+",Free,0,Mature 17+,Entertainment,"September 22, 2015",7.2.3,2.3 and up,ENTERTAINMENT,4.2,38769.0,1000000.0,44.0,
Meme Generator,ENTERTAINMENT,4.6,3771,53M,"100,000+",Paid,$2.99,Mature 17+,Entertainment,"August 3, 2018",4.426,4.1 and up,ENTERTAINMENT,4.6,3771.0,100000.0,53.0,
Fever,EVENTS,4.0,20611,12M,"1,000,000+",Free,0,Teen,Events,"July 18, 2018",4.3.6,4.1 and up,EVENTS,4.0,20611.0,1000000.0,12.0,
ROBLOX,GAME,4.5,4447388,67M,"100,000,000+",Free,0,Everyone 10+,Adventure;Action & Adventure,"July 31, 2018",2.347.225742,4.1 and up,GAME,4.5,4447388.0,100000000.0,67.0,
Temple Run 2,GAME,4.3,8118609,62M,"500,000,000+",Free,0,Everyone,Action,"July 5, 2018",1.49.1,4.0 and up,GAME,4.3,8118609.0,500000000.0,62.0,
Pou,GAME,4.3,10485308,24M,"500,000,000+",Free,0,Everyone,Casual,"May 25, 2018",1.4.77,4.0 and up,GAME,4.3,10485308.0,500000000.0,24.0,
Helix Jump,GAME,4.2,1497361,33M,"100,000,000+",Free,0,Everyone,Action,"April 9, 2018",1.0.6,4.1 and up,GAME,4.2,1497361.0,100000000.0,33.0,
Zombie Hunter King,GAME,4.3,10306,50M,"1,000,000+",Free,0,Mature 17+,Action,"August 1, 2018",1.0.8,2.3 and up,GAME,4.3,10306.0,1000000.0,50.0,
PAC-MAN,GAME,4.2,685981,37M,"100,000,000+",Free,0,Everyone,Arcade,"May 15, 2018",6.6.3,4.1 and up,GAME,4.2,685981.0,100000000.0,37.0,
8 Ball Pool,GAME,4.5,14198297,52M,"100,000,000+",Free,0,Everyone,Sports,"July 31, 2018",4.0.0,4.0.3 and up,GAME,4.5,14198297.0,100000000.0,52.0,
Granny,GAME,4.5,1135631,59M,"50,000,000+",Free,0,Teen,Arcade,"May 29, 2018",1.4.0.1,4.0 and up,GAME,4.5,1135631.0,50000000.0,59.0,
Flow Free,GAME,4.3,1295557,11M,"100,000,000+",Free,0,Everyone,Puzzle,"April 11, 2018",4.0,4.1 and up,GAME,4.3,1295557.0,100000000.0,11.0,
Race the Traffic Moto,GAME,3.8,270687,38M,"10,000,000+",Free,0,Teen,Racing,"July 20, 2018",1.0.16,4.0.3 and up,GAME,3.8,270687.0,10000000.0,38.0,
Hill Climb Racing,GAME,4.4,8923587,63M,"100,000,000+",Free,0,Everyone,Racing,"July 2, 2018",1.37.2,4.2 and up,GAME,4.4,8923587.0,100000000.0,63.0,
My Talking Angela,GAME,4.5,9881829,99M,"100,000,000+",Free,0,Everyone,Casual,"July 3, 2018",3.7.2.51,4.1 and up,GAME,4.5,9881829.0,100000000.0,99.0,
Cut the Rope FULL FREE,GAME,4.4,2123381,49M,"100,000,000+",Free,0,Everyone,Puzzle,"July 5, 2018",3.7.2,4.1 and up,GAME,4.4,2123381.0,100000000.0,49.0,
ROBLOX,GAME,4.5,4447346,67M,"100,000,000+",Free,0,Everyone 10+,Adventure;Action & Adventure,"July 31, 2018",2.347.225742,4.1 and up,GAME,4.5,4447346.0,100000000.0,67.0,
Pou,GAME,4.3,10485334,24M,"500,000,000+",Free,0,Everyone,Casual,"May 25, 2018",1.4.77,4.0 and up,GAME,4.3,10485334.0,500000000.0,24.0,
8 Ball Pool,GAME,4.5,14198602,52M,"100,000,000+",Free,0,Everyone,Sports,"July 31, 2018",4.0.0,4.0.3 and up,GAME,4.5,14198602.0,100000000.0,52.0,
Cooking Fever,GAME,4.5,3197865,82M,"100,000,000+",Free,0,Everyone,Arcade,"July 12, 2018",2.8.0,4.0.3 and up,GAME,4.5,3197865.0,100000000.0,82.0,
My Talking Angela,GAME,4.5,9881908,99M,"100,000,000+",Free,0,Everyone,Casual,"July 3, 2018",3.7.2.51,4.1 and up,GAME,4.5,9881908.0,100000000.0,99.0,
Garena Free Fire,GAME,4.5,5465624,53M,"100,000,000+",Free,0,Teen,Action,"August 3, 2018",1.21.0,4.0.3 and up,GAME,4.5,5465624.0,100000000.0,53.0,
Granny,GAME,4.5,1137271,59M,"50,000,000+",Free,0,Teen,Arcade,"May 29, 2018",1.4.0.1,4.0 and up,GAME,4.5,1137271.0,50000000.0,59.0,
Zombie Hunter King,GAME,4.3,10354,50M,"1,000,000+",Free,0,Mature 17+,Action,"August 1, 2018",1.0.8,2.3 and up,GAME,4.3,10354.0,1000000.0,50.0,
Temple Run 2,GAME,4.3,8118937,62M,"500,000,000+",Free,0,Everyone,Action,"July 5, 2018",1.49.1,4.0 and up,GAME,4.3,8118937.0,500000000.0,62.0,
Rider,GAME,4.5,655067,72M,"10,000,000+",Free,0,Teen,Arcade,"July 17, 2017",1.2.1,4.0.3 and up,GAME,4.5,655067.0,10000000.0,72.0,
Talking Tom Gold Run,GAME,4.6,2698348,78M,"100,000,000+",Free,0,Everyone,Action,"July 31, 2018",2.8.2.59,4.1 and up,GAME,4.6,2698348.0,100000000.0,78.0,
Pixel Art: Color by Number Game,GAME,4.7,1125017,25M,"10,000,000+",Free,0,Everyone,Puzzle,"July 17, 2018",3.9.2,4.3 and up,GAME,4.7,1125017.0,10000000.0,25.0,
Traffic Racer,GAME,4.5,5387639,53M,"100,000,000+",Free,0,Everyone,Racing,"February 27, 2018",2.5,4.1 and up,GAME,4.5,5387639.0,100000000.0,53.0,
Flow Free,GAME,4.3,1295606,11M,"100,000,000+",Free,0,Everyone,Puzzle,"April 11, 2018",4.0,4.1 and up,GAME,4.3,1295606.0,100000000.0,11.0,
Knife Hit,GAME,4.5,461137,60M,"10,000,000+",Free,0,Everyone,Arcade,"May 22, 2018",1.7.2,4.0.3 and up,GAME,4.5,461137.0,10000000.0,60.0,
Farm Fruit Pop: Party Time,GAME,4.4,9305,14M,"1,000,000+",Free,0,Everyone,Casual,"August 2, 2018",1.9.2,4.0.3 and up,GAME,4.4,9305.0,1000000.0,14.0,
ROBLOX,GAME,4.5,4448791,67M,"100,000,000+",Free,0,Everyone 10+,Adventure;Action & Adventure,"July 31, 2018",2.347.225742,4.1 and up,GAME,4.5,4448791.0,100000000.0,67.0,
Helix Jump,GAME,4.2,1498648,33M,"100,000,000+",Free,0,Everyone,Action,"April 9, 2018",1.0.6,4.1 and up,GAME,4.2,1498648.0,100000000.0,33.0,
Granny,GAME,4.5,1137267,59M,"50,000,000+",Free,0,Teen,Arcade,"May 29, 2018",1.4.0.1,4.0 and up,GAME,4.5,1137267.0,50000000.0,59.0,
8 Ball Pool,GAME,4.5,14200344,52M,"100,000,000+",Free,0,Everyone,Sports,"July 31, 2018",4.0.0,4.0.3 and up,GAME,4.5,14200344.0,100000000.0,52.0,
Pokémon GO,GAME,4.1,10424925,85M,"100,000,000+",Free,0,Everyone,Adventure,"July 23, 2018",0.111.3,4.4 and up,GAME,4.1,10424925.0,100000000.0,85.0,
Paint Hit,GAME,4.4,37023,33M,"10,000,000+",Free,0,Everyone,Casual,"July 6, 2018",5.200,5.0 and up,GAME,4.4,37023.0,10000000.0,33.0,
Rolly Vortex,GAME,4.4,98123,40M,"10,000,000+",Free,0,Teen,Arcade,"May 25, 2018",1.7.0,4.1 and up,GAME,4.4,98123.0,10000000.0,40.0,
Woody Puzzle,GAME,4.7,21262,29M,"1,000,000+",Free,0,Everyone,Puzzle,"August 3, 2018",1.0.9,4.4 and up,GAME,4.7,21262.0,1000000.0,29.0,
Color by Number – New Coloring Book,GAME,4.7,141529,24M,"5,000,000+",Free,0,Everyone 10+,Board,"August 1, 2018",2.0.6,4.1 and up,GAME,4.7,141529.0,5000000.0,24.0,
The Cube,GAME,4.2,70226,38M,"5,000,000+",Free,0,Everyone,Arcade,"July 25, 2018",1.2.9,4.1 and up,GAME,4.2,70226.0,5000000.0,38.0,
Color Road,GAME,4.1,84911,71M,"10,000,000+",Free,0,Everyone,Arcade,"July 19, 2018",2.5.0,4.1 and up,GAME,4.1,84911.0,10000000.0,71.0,
Draw In,GAME,4.2,46416,73M,"10,000,000+",Free,0,Everyone,Arcade,"July 23, 2018",1.0.8,4.1 and up,GAME,4.2,46416.0,10000000.0,73.0,
PLANK!,GAME,4.7,7196,38M,"500,000+",Free,0,Everyone,Arcade,"July 17, 2018",1.0.2,4.3 and up,GAME,4.7,7196.0,500000.0,38.0,
Looper!,GAME,4.6,48256,62M,"1,000,000+",Free,0,Everyone,Puzzle,"July 20, 2018",1.2.0,4.1 and up,GAME,4.6,48256.0,1000000.0,62.0,
Trivia Crack,GAME,4.5,6427773,95M,"100,000,000+",Free,0,Everyone,Trivia,"August 3, 2018",2.79.0,4.1 and up,GAME,4.5,6427773.0,100000000.0,95.0,
PUBG MOBILE,GAME,4.4,3715656,36M,"50,000,000+",Free,0,Teen,Action,"July 24, 2018",0.7.0,4.3 and up,GAME,4.4,3715656.0,50000000.0,36.0,
Hole.io,GAME,4.2,145353,85M,"10,000,000+",Free,0,Teen,Arcade,"July 24, 2018",1.3.1,4.1 and up,GAME,4.2,145353.0,10000000.0,85.0,
Helix Jump,GAME,4.2,1499373,33M,"100,000,000+",Free,0,Everyone,Action,"April 9, 2018",1.0.6,4.1 and up,GAME,4.2,1499373.0,100000000.0,33.0,
Mini Golf King - Multiplayer Game,GAME,4.5,531458,100M,"5,000,000+",Free,0,Everyone,Sports,"July 20, 2018",3.04.1,4.0.3 and up,GAME,4.5,531458.0,5000000.0,100.0,
PUBG MOBILE,GAME,4.4,3714270,36M,"50,000,000+",Free,0,Teen,Action,"July 24, 2018",0.7.0,4.3 and up,GAME,4.4,3714270.0,50000000.0,36.0,
Word Link,GAME,4.6,216675,30M,"10,000,000+",Free,0,Everyone,Word,"August 1, 2018",2.2.7,4.1 and up,GAME,4.6,216675.0,10000000.0,30.0,
Mafia City,GAME,4.5,168717,56M,"10,000,000+",Free,0,Mature 17+,Strategy,"August 3, 2018",1.3.205,2.3 and up,GAME,4.5,168717.0,10000000.0,56.0,
Tokyo Ghoul: Dark War,GAME,4.3,25094,82M,"1,000,000+",Free,0,Teen,Role Playing,"July 6, 2018",1.2.0,4.3 and up,GAME,4.3,25094.0,1000000.0,82.0,
Lineage 2: Revolution,GAME,4.2,187972,99M,"5,000,000+",Free,0,Teen,Role Playing,"July 11, 2018",1.05.20,4.4 and up,GAME,4.2,187972.0,5000000.0,99.0,
Honkai Impact 3rd,GAME,4.7,59017,82M,"1,000,000+",Free,0,Teen,Action,"July 3, 2018",2.2.1,4.3 and up,GAME,4.7,59017.0,1000000.0,82.0,
The Game of Life,GAME,4.4,18621,63M,"100,000+",Paid,$2.99,Everyone,Board,"July 4, 2018",2.1.2,4.4 and up,GAME,4.4,18621.0,100000.0,63.0,
Clue,GAME,4.6,19922,35M,"100,000+",Paid,$1.99,Everyone 10+,Board,"July 30, 2018",2.2.5,5.0 and up,GAME,4.6,19922.0,100000.0,35.0,
Monument Valley 2,GAME,4.6,9394,33M,"100,000+",Paid,$4.99,Everyone,Puzzle,"November 30, 2017",1.2.9,4.4 and up,GAME,4.6,9394.0,100000.0,33.0,
ROBLOX,GAME,4.5,4449882,67M,"100,000,000+",Free,0,Everyone 10+,Adventure;Action & Adventure,"July 31, 2018",2.347.225742,4.1 and up,GAME,4.5,4449882.0,100000000.0,67.0,
8 Ball Pool,GAME,4.5,14200550,52M,"100,000,000+",Free,0,Everyone,Sports,"July 31, 2018",4.0.0,4.0.3 and up,GAME,4.5,14200550.0,100000000.0,52.0,
PUBG MOBILE,GAME,4.4,3716278,36M,"50,000,000+",Free,0,Teen,Action,"July 24, 2018",0.7.0,4.3 and up,GAME,4.4,3716278.0,50000000.0,36.0,
War and Order,GAME,4.3,224514,81M,"5,000,000+",Free,0,Teen,Strategy,"July 18, 2018",1.1.8,4.0.3 and up,GAME,4.3,224514.0,5000000.0,81.0,
ROBLOX,GAME,4.5,4449910,67M,"100,000,000+",Free,0,Everyone 10+,Adventure;Action & Adventure,"July 31, 2018",2.347.225742,4.1 and up,GAME,4.5,4449910.0,100000000.0,67.0,
8 Ball Pool,GAME,4.5,14201891,52M,"100,000,000+",Free,0,Everyone,Sports,"July 31, 2018",4.0.0,4.0.3 and up,GAME,4.5,14201891.0,100000000.0,52.0,
Zombie Hunter King,GAME,4.3,10493,50M,"1,000,000+",Free,0,Mature 17+,Action,"August 1, 2018",1.0.8,2.3 and up,GAME,4.3,10493.0,1000000.0,50.0,
Pou,GAME,4.3,10486018,24M,"500,000,000+",Free,0,Everyone,Casual,"May 25, 2018",1.4.77,4.0 and up,GAME,4.3,10486018.0,500000000.0,24.0,
Temple Run 2,GAME,4.3,8119151,62M,"500,000,000+",Free,0,Everyone,Action,"July 5, 2018",1.49.1,4.0 and up,GAME,4.3,8119151.0,500000000.0,62.0,
Flow Free,GAME,4.3,1295625,11M,"100,000,000+",Free,0,Everyone,Puzzle,"April 11, 2018",4.0,4.1 and up,GAME,4.3,1295625.0,100000000.0,11.0,
My Talking Angela,GAME,4.5,9883367,99M,"100,000,000+",Free,0,Everyone,Casual,"July 3, 2018",3.7.2.51,4.1 and up,GAME,4.5,9883367.0,100000000.0,99.0,
Cooking Fever,GAME,4.5,3198176,82M,"100,000,000+",Free,0,Everyone,Arcade,"July 12, 2018",2.8.0,4.0.3 and up,GAME,4.5,3198176.0,100000000.0,82.0,
Granny,GAME,4.5,1138239,59M,"50,000,000+",Free,0,Teen,Arcade,"May 29, 2018",1.4.0.1,4.0 and up,GAME,4.5,1138239.0,50000000.0,59.0,
Talking Tom Gold Run,GAME,4.6,2698882,78M,"100,000,000+",Free,0,Everyone,Action,"July 31, 2018",2.8.2.59,4.1 and up,GAME,4.6,2698882.0,100000000.0,78.0,
Hill Climb Racing,GAME,4.4,8923818,63M,"100,000,000+",Free,0,Everyone,Racing,"July 2, 2018",1.37.2,4.2 and up,GAME,4.4,8923818.0,100000000.0,63.0,
Pixel Art: Color by Number Game,GAME,4.7,1125438,25M,"10,000,000+",Free,0,Everyone,Puzzle,"July 17, 2018",3.9.2,4.3 and up,GAME,4.7,1125438.0,10000000.0,25.0,
Rider,GAME,4.5,655145,72M,"10,000,000+",Free,0,Teen,Arcade,"July 17, 2017",1.2.1,4.0.3 and up,GAME,4.5,655145.0,10000000.0,72.0,
Garena Free Fire,GAME,4.5,5476569,53M,"100,000,000+",Free,0,Teen,Action,"August 3, 2018",1.21.0,4.0.3 and up,GAME,4.5,5476569.0,100000000.0,53.0,
Helix Jump,GAME,4.2,1500999,33M,"100,000,000+",Free,0,Everyone,Action,"April 9, 2018",1.0.6,4.1 and up,GAME,4.2,1500999.0,100000000.0,33.0,
Temple Run 2,GAME,4.3,8119154,62M,"500,000,000+",Free,0,Everyone,Action,"July 5, 2018",1.49.1,4.0 and up,GAME,4.3,8119154.0,500000000.0,62.0,
Talking Tom Gold Run,GAME,4.6,2698889,78M,"100,000,000+",Free,0,Everyone,Action,"July 31, 2018",2.8.2.59,4.1 and up,GAME,4.6,2698889.0,100000000.0,78.0,
Earn to Die 2,GAME,4.6,1327265,99M,"50,000,000+",Free,0,Teen,Racing,"April 12, 2017",1.3,2.3.3 and up,GAME,4.6,1327265.0,50000000.0,99.0,
Dude Perfect 2,GAME,4.5,401425,70M,"10,000,000+",Free,0,Everyone,Action,"April 12, 2017",1.6.1,4.0.3 and up,GAME,4.5,401425.0,10000000.0,70.0,
DEER HUNTER 2018,GAME,4.3,955656,82M,"10,000,000+",Free,0,Teen,Action,"June 26, 2018",5.1.2,3.0 and up,GAME,4.3,955656.0,10000000.0,82.0,
